Na/L,kappa,NormResidual,FirstModeFracAbs,FirstModeFracSq,RMS_to_mode1,Mean_u,Variance_u,Skewness_u
0.01,0.0005000000000000001,3.226308109560705e-13,0.056015348421671544,0.07916881506848983,4.917027298107551,0.5000000000001613,0.00012500000002518656,-3.100531210037189e-11
0.016378937069540637,0.000818946853477032,2.4091839634365897e-13,0.07166036410777198,0.10124072005479084,4.307999050055409,0.5000000000001203,0.00020473671339095253,-2.0328063735493302e-11
0.02682695795279726,0.0013413478976398632,1.7208456881689926e-13,0.09165200512658857,0.12940119549412066,3.764293507779082,0.5000000000000863,0.00033533697442758104,-9.914161719120735e-12
0.043939705607607904,0.002196985280380396,3.3728575488112256e-13,0.11717268624919523,0.16525867372084493,3.277527336109587,0.5000000000001686,0.0005492463201338437,-2.194470670816746e-11
0.07196856730011521,0.0035984283650057607,2.384759056894836e-13,0.14969881597477327,0.21076833444965454,2.8401763546824044,0.5000000000001192,0.0008996070912847102,-1.1684909957059202e-11
0.1,0.005000000000000001,1.978417429882029e-13,0.17615541165334456,0.24758939623239207,2.572698837429849,0.5000000000000989,0.0012500000000318732,-8.300177252195863e-12
0.11787686347935872,0.0058938431739679375,5.551115123125783e-14,0.1910431030946319,0.2682183602877289,2.4454924621228455,0.5000000000000278,0.0014734607935015802,-2.053732636262277e-12
0.19306977288832497,0.00965348864441625,5.440092820663267e-14,0.2433659657322975,0.340096846011397,2.087482875125211,0.5000000000000273,0.002413372161112831,-1.671325021989604e-12
0.31622776601683794,0.0158113883008419,5.88418203051333e-15,0.3091031017036558,0.428693390331639,1.7610145478908565,0.499999999999997,0.003952847075209107,1.4462014292363682e-13
0.5,0.025000000000000005,1.7574719457513766e-10,0.38429541679085805,0.5269694872469486,1.4826817964835346,0.4999999999121264,0.006249999833300941,3.334568806574885e-09
1.0,0.05000000000000001,1.3169212702557331e-06,0.5269694872469505,0.700665932389188,1.1043813454251827,0.49999934153936476,0.012495985263231695,1.7671190925370146e-05
2.0,0.10000000000000002,6.868430678830251e-05,0.7006659323896771,0.8759644867935528,0.7920316018355362,0.4999656578466059,0.024265676481319876,0.0006613822919626687
5.011872336272722,0.2505936168136362,0.0003825486428503666,0.9217361119282691,0.9929417103785434,0.5848083853723695,0.4998087256785748,0.04208069836333177,0.0027972816968291807
6.579332246575679,0.328966612328784,0.00044373229523186897,0.9625023483537372,0.9984891009403638,0.5696022152483521,0.499778133852384,0.04488575704747512,0.0031416492944531488
8.637014254641434,0.4318507127320718,0.000476948381466169,0.9861017573671177,0.9998014738833338,0.5633972045802744,0.499761525809267,0.046391678845971326,0.0033215610489002365
11.33823501217849,0.5669117506089246,0.0004907267579165042,0.9962980284263858,0.9999861939440298,0.5612388861227012,0.4997546366210417,0.04701491469163259,0.0033947891208104004
14.88426085696291,0.7442130428481457,0.0004947870025300283,0.9993546601329134,0.9999995829989358,0.5606493326302926,0.4997526064987349,0.04719851871607163,0.0034162133228697045
19.539304046896113,0.9769652023448059,0.0004955542901210475,0.9999350780633751,0.9999999957845949,0.5605403005058501,0.49975222285493937,0.04723321476922145,0.003420254086798359
25.650209056800456,1.282510452840023,0.0004956358373588987,0.9999968175970192,0.9999999999898722,0.5605287570647995,0.49975218208132066,0.04723690225983337,0.003420683391410764
33.67229575211422,1.6836147876057115,0.0004956399601746542,0.9999999392568779,0.9999999999999962,0.5605281736854915,0.49975218001991273,0.0472370886897471,0.003420705095181955
44.203284998850606,2.210164249942531,0.0004956400399545036,0.9999999996638443,1.0,0.5605281623968329,0.49975217998002275,0.04723709229732072,0.003420705515167827
58.02783448666185,2.9013917243330933,0.0004956400403985928,1.0,1.0,0.5605281623340131,0.4997521799798008,0.04723709231739631,0.003420705517504177
76.17600310246125,3.8088001551230635,0.0004956400403985928,1.0,1.0,0.5605281623340131,0.4997521799798008,0.04723709231739631,0.003420705517504177
100.0,5.000000000000001,0.0004956400403985928,1.0,1.0,0.5605281623340133,0.4997521799798008,0.04723709231739631,0.003420705517504177
